CHC,Latitude,Longitude,Address,SA1,SA2_CODE,SA2_NAME,SA3_NAME,SA4_NAME,GCCSA_NAME,STATE_NAME,IARE_CODE,IARE_NAME,IREG_CODE,IREG_NAME
BORROLOOLA,-16.0594471,136.3054069,"Borroloola, Roper Gulf Region, Northern Territory, 0854, Australia",70205106601,702051066,Gulf,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,705001,Borroloola,705,Katherine
BULMAN,-13.6658065,134.3360241,"Bulman, Roper Gulf Region, Northern Territory, Australia",70205106509,702051065,Elsey,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,705003,Elsey - Roper,705,Katherine
CANTEEN CREEK,-20.635234,135.5859008,"Canteen Creek, Barkly Region, Northern Territory, 0872, Australia",70202105505,702021055,Barkly,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory,707006,Wutunugurra - Canteen Creek,707,Tennant Creek
CASUARINA,-12.3737641,130.8823639,"Casuarina, Darwin, City of Darwin, Northern Territory, 0810, Australia",70102101307,701021013,Brinkin - Nakara,Darwin Suburbs,Darwin,Greater Darwin,Northern Territory,703001,Alawa - Brinkin - Nakara,703,Darwin
DAGURAGU,-17.4004322,130.8057492,"Daguragu, Victoria Daly Region, Northern Territory, 0852, Australia",70205106805,702051068,Victoria River,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,705002,Daguragu - Kalkarindji and Outstations,705,Katherine
DALY RIVER,-13.5868485,130.6411359,"Daly River, Victoria Daly Region, Northern Territory, 0822, Australia",70203105807,702031058,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704001,Douglas-Daly,704,Jabiru - Tiwi
DARWIN,-12.46044,130.8410469,"Darwin, City of Darwin, Northern Territory, 0800, Australia",70101100228,701011002,Darwin City,Darwin City,Darwin,Greater Darwin,Northern Territory,703005,Darwin - Inner Suburbs,703,Darwin
DHALINYBUY,-12.4118838,136.3865589,"Dhalinybuy, East Arnhem Region, Northern Territory, Australia",70204106315,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706003,Laynhapuy - Gumatj Homelands,706,Nhulunbuy
DHURPUTJPI,,,Not found,,,,,,,,,,,
DJARRAKPI,-13.2964773,136.352175,"Djarrakpi, East Arnhem, East Arnhem Region, Northern Territory, Australia",70204106304,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706003,Laynhapuy - Gumatj Homelands,706,Nhulunbuy
DOCKER RIVER,-24.8748895,129.084406,"Kaltukatjara, Macdonnell Region, Northern Territory, 0872, Australia",70201105014,702011050,Petermann - Simpson,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709008,Kaltukatjara and Outstations,709,Apatula
ELLIOTT,-17.5558573,133.5434089,"Elliott, Barkly Region, Northern Territory, 0862, Australia",70202105510,702021055,Barkly,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory,707004,Elliott,707,Tennant Creek
EPENARRA,-20.4635071,135.2515125,"Wutunugurra, Barkly Region, Northern Territory, Australia",70202105506,702021055,Barkly,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory,707006,Wutunugurra - Canteen Creek,707,Tennant Creek
GALIWINKU,-12.0103775,135.5871054,"Galiwinku, East Arnhem Region, Northern Territory, 0822, Australia",70204106310,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706004,Marthakal Homelands - Galiwinku,706,Nhulunbuy
GAN GAN,-13.0456386,135.9436372,"Gan Gan, East Arnhem Region, Northern Territory, Australia",70204106314,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706003,Laynhapuy - Gumatj Homelands,706,Nhulunbuy
GAPUWIYAK,-12.5035105,135.7962518,"Gapuwiyak, East Arnhem Region, Northern Territory, 0880, Australia",70204106303,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706002,Gapuwiyak and Outstations,706,Nhulunbuy
GARRTHALALA,-12.7628817,136.5683978,"Garrthalala, East Arnhem Region, Northern Territory, Australia",70204106304,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706003,Laynhapuy - Gumatj Homelands,706,Nhulunbuy
GOVE,-12.2913985,136.8472845,"Rio Tinto Alcan Gove Mine Lease, East Arnhem, East Arnhem Region, Northern Territory, Australia",70204106316,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706003,Laynhapuy - Gumatj Homelands,706,Nhulunbuy
GUNYANGARA,-12.2178045,136.705234,"Gunyangara, East Arnhem Region, Northern Territory, 0880, Australia",70204106311,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706005,Nhulunbuy - Gunyangara,706,Nhulunbuy
GURRUMURRU,,,Not found,,,,,,,,,,,
